outcome,config1_mean,config1_sd,config2_mean,config2_sd,config3_mean,config3_sd,benchmark_mean,benchmark_sd
Doctor utilisation,0.268,0.003,0.372,0.004,0.354,0.002,1.142,0.006
NCD Nurse utilisation,0.865,0.011,0.469,0.005,0.468,0.005,1.232,0.019
Staff nurse utilisation,0.323,0.008,0.243,0.006,0.16,0.001,0.322,0.008
Pharmacist utilisation,0.643,0.004,0.288,0.003,0.289,0.003,0.855,0.005
Lab utilisation,0.559,0.008,0.254,0.004,0.239,0.004,0.736,0.011
Inpatient bed utilisation,0.093,0.004,0.055,0.003,0.011,0.001,0.093,0.004
Labour bed utilisation,0.283,0.01,0.153,0.009,NA,NA,0.281,0.012
Mean length of OPD queue (number of patients),0,0,0.007,0.001,0.001,0,0.817,0.027
OPD queue waiting time (minutes),0.009,0.004,0.171,0.032,0.034,0.001,6.789,0.268
Mean length of pharmacy queue (number of patients),0.09,0.002,0.01,0.001,0.009,0,0.15,0.002
Pharmacy queue waiting time (minutes),1.025,0.021,0.244,0.008,0.232,0.006,1.282,0.018
Mean length of Lab queue (number of patients),0.094,0.003,0.012,0.001,0.011,0,0.188,0.001
Lab queue waiting time (minutes),2.084,0.054,0.606,0.023,0.571,0.02,3.135,0.005
Fraction of childbirth cases referred,0.156,0.019,0.088,0.022,NA,NA,0.157,0.18
